Date,Population
2062-10-01,11585621.0
2062-11-01,11590483.666666666
2062-12-01,11595346.333333334
2063-01-01,11600209.0
2063-02-01,11605021.083333334
2063-03-01,11609833.166666666
2063-04-01,11614645.25
2063-05-01,11619457.333333334
2063-06-01,11624269.416666666
2063-07-01,11629081.5
2063-08-01,11633893.583333334
2063-09-01,11638705.666666666
2063-10-01,11643517.75
2063-11-01,11648329.833333334
2063-12-01,11653141.916666666
2064-01-01,11657954.0
2064-02-01,11662717.166666666
2064-03-01,11667480.333333334
2064-04-01,11672243.5
2064-05-01,11677006.666666666
2064-06-01,11681769.833333334
2064-07-01,11686533.0
2064-08-01,11691296.166666666
2064-09-01,11696059.333333334
2064-10-01,11700822.5
2064-11-01,11705585.666666666
2064-12-01,11710348.833333334
2065-01-01,11715112.0
2065-02-01,11719825.75
2065-03-01,11724539.5
2065-04-01,11729253.25
2065-05-01,11733967.0
2065-06-01,11738680.75
2065-07-01,11743394.5
2065-08-01,11748108.25
2065-09-01,11752822.0
2065-10-01,11757535.75
2065-11-01,11762249.5
2065-12-01,11766963.25
2066-01-01,11771677.0
2066-02-01,11776342.0
2066-03-01,11781007.0
2066-04-01,11785672.0
2066-05-01,11790337.0
2066-06-01,11795002.0
2066-07-01,11799667.0
2066-08-01,11804332.0
2066-09-01,11808997.0
2066-10-01,11813662.0
2066-11-01,11818327.0
2066-12-01,11822992.0
2067-01-01,11827657.0
2067-02-01,11832271.833333334
2067-03-01,11836886.666666666
2067-04-01,11841501.5
2067-05-01,11846116.333333334
2067-06-01,11850731.166666666
2067-07-01,11855346.0
2067-08-01,11859960.833333334
2067-09-01,11864575.666666666
2067-10-01,11869190.5
2067-11-01,11873805.333333334
2067-12-01,11878420.166666666
2068-01-01,11883035.0
2068-02-01,11887597.166666666
2068-03-01,11892159.333333334
2068-04-01,11896721.5
2068-05-01,11901283.666666666
2068-06-01,11905845.833333334
2068-07-01,11910408.0
2068-08-01,11914970.166666666
2068-09-01,11919532.333333334
2068-10-01,11924094.5
2068-11-01,11928656.666666666
2068-12-01,11933218.833333334
2069-01-01,11937781.0
2069-02-01,11942285.833333334
2069-03-01,11946790.666666666
2069-04-01,11951295.5
2069-05-01,11955800.333333334
2069-06-01,11960305.166666666
2069-07-01,11964810.0
2069-08-01,11969314.833333334
2069-09-01,11973819.666666666
2069-10-01,11978324.5
2069-11-01,11982829.333333334
2069-12-01,11987334.166666666
2070-01-01,11991839.0
2070-02-01,11996283.0
2070-03-01,12000727.0
2070-04-01,12005171.0
2070-05-01,12009615.0
2070-06-01,12014059.0
2070-07-01,12018503.0
2070-08-01,12022947.0
2070-09-01,12027391.0
2070-10-01,12031835.0
2070-11-01,12036279.0
2070-12-01,12040723.0
2071-01-01,12045167.0
