20180507,20180513,-0.32
20180514,20180520,-0.07
20180521,20180527,-0.07
20180528,20180603,-0.13
20180604,20180610,-0.11
20180611,20180617,0.07
20180618,20180624,0.27
20180625,20180701,0.36
20180702,20180708,0.25
20180709,20180715,0.32
20180716,20180722,0.30
20180723,20180729,0.37
20180730,20180805,0.24
20180806,20180812,0.20
20180813,20180819,0.27
20180820,20180826,0.28
20180827,20180902,0.25
20180903,20180909,0.34
20180910,20180916,0.21
20180917,20180923,0.14
20180924,20180930,0.44
20181001,20181007,0.66
20181008,20181014,0.77
20181015,20181021,0.69
20181022,20181028,0.71
20181029,20181104,0.82
20181105,20181111,0.87
20181112,20181118,0.76
20181119,20181125,0.69
20181126,20181202,0.81
20181203,20181209,1.02
20181210,20181216,0.78
20181217,20181223,0.71
20181224,20181230,0.77
20181231,20190106,0.66
20190107,20190113,0.62
20190114,20190120,0.47
20190121,20190127,0.45
20190128,20190203,0.50
20190204,20190210,0.43
20190211,20190217,0.57
20190218,20190224,0.65
20190225,20190303,0.83
20190304,20190310,0.82
20190311,20190317,0.78
20190318,20190324,0.82
20190325,20190331,0.67
20190401,20190407,0.62
20190408,20190414,0.59
20190415,20190421,0.68
20190422,20190428,0.61
20190429,20190505,0.65
20190506,20190512,0.68
20190513,20190519,0.65
20190520,20190526,0.65
20190527,20190602,0.75
20190603,20190609,0.67
20190610,20190616,0.64
20190617,20190623,0.47
20190624,20190630,0.32
20190701,20190707,0.48
20190708,20190714,0.50
20190715,20190721,0.40
20190722,20190728,0.38
20190729,20190804,0.33
20190805,20190811,0.16
20190812,20190818,0.10
20190819,20190825,-0.00
20190826,20190901,-0.11
20190902,20190908,-0.17
20190909,20190915,-0.30
20190916,20190922,0.01
20190923,20190929,0.17
20190930,20191006,0.38
20191007,20191013,0.44
20191014,20191020,0.56
20191021,20191027,0.67
20191028,20191103,0.57
20191104,20191110,0.44
20191111,20191117,0.55
20191118,20191124,0.50
20191125,20191201,0.30
20191202,20191208,0.35
20191209,20191215,0.39
20191216,20191222,0.40
20191223,20191229,0.42
20191230,20200105,0.62
20200106,20200112,0.56
20200113,20200119,0.47
20200120,20200126,0.52
20200127,20200202,0.50
20200203,20200209,0.38
20200210,20200216,0.30
20200217,20200223,0.36
20200224,20200301,0.28
20200302,20200308,0.25
20200309,20200315,0.29
20200316,20200322,0.52
20200323,20200329,0.39
20200330,20200405,0.30
20200406,20200412,0.30
20200413,20200419,0.43
20200420,20200426,0.37
20200427,20200503,0.21
20200504,20200510,-0.03
20200511,20200517,-0.24
20200518,20200524,-0.43
20200525,20200531,-0.56
20200601,20200607,-0.41
20200608,20200614,-0.46
20200615,20200621,-0.47
20200622,20200628,-0.34
20200629,20200705,-0.20
20200706,20200712,-0.09
20200713,20200719,-0.11
20200720,20200726,-0.12
20200727,20200802,-0.27
20200803,20200809,-0.51
20200810,20200816,-0.56
20200817,20200823,-0.52
20200824,20200830,-0.64
20200831,20200906,-0.73
20200907,20200913,-0.83
20200914,20200920,-0.89
20200921,20200927,-0.99
20200928,20201004,-0.97
20201005,20201011,-0.99
20201012,20201018,-1.20
20201019,20201025,-1.43
20201026,20201101,-1.70
20201102,20201108,-1.70
20201109,20201115,-1.38
20201116,20201122,-1.29
20201123,20201129,-1.36
20201130,20201206,-1.36
20201207,20201213,-1.20
20201214,20201220,-1.13
20201221,20201227,-1.10
20201228,20210103,-1.05
20210104,20210110,-1.06
20210111,20210117,-1.09
20210118,20210124,-1.04
20210125,20210131,-0.87
20210201,20210207,-0.79
20210208,20210214,-0.87
20210215,20210221,-0.84
20210222,20210228,-0.98
20210301,20210307,-0.93
20210308,20210314,-0.65
20210315,20210321,-0.73
20210322,20210328,-0.75
20210329,20210404,-0.83
20210405,20210411,-0.75
20210412,20210418,-0.68
20210419,20210425,-0.66
20210426,20210502,-0.54
20210503,20210509,-0.43
20210510,20210516,-0.46
20210517,20210523,-0.34
20210524,20210530,-0.35
20210531,20210606,-0.27
20210607,20210613,-0.15
20210614,20210620,-0.09
20210621,20210627,-0.06
20210628,20210704,-0.00
20210705,20210711,-0.08
20210712,20210718,-0.13
20210719,20210725,-0.23
20210726,20210801,-0.27
20210802,20210808,-0.28
20210809,20210815,-0.26
20210816,20210822,-0.36
20210823,20210829,-0.38
20210830,20210905,-0.31
20210906,20210912,-0.27
20210913,20210919,-0.41
20210920,20210926,-0.47
20210927,20211003,-0.64
20211004,20211010,-0.76
20211011,20211017,-0.89
20211018,20211024,-1.04
20211025,20211031,-1.21
20211101,20211107,-1.11
20211108,20211114,-0.99
20211115,20211121,-0.97
20211122,20211128,-0.94
20211129,20211205,-0.98
20211206,20211212,-1.04
20211213,20211219,-1.04
20211220,20211226,-0.99
20211227,20220102,-1.04
20220103,20220109,-1.08
20220110,20220116,-0.96
20220117,20220123,-0.89
20220124,20220130,-0.76
20220131,20220206,-0.70
20220207,20220213,-0.80
20220214,20220220,-0.90
20220221,20220227,-0.98
20220228,20220306,-1.19
20220307,20220313,-1.26
20220314,20220320,-1.29
20220321,20220327,-1.23
20220328,20220403,-1.13
20220404,20220410,-1.18
20220411,20220417,-1.23
20220418,20220424,-1.20
20220425,20220501,-1.26
20220502,20220508,-1.25
20220509,20220515,-1.24
20220516,20220522,-1.15
20220523,20220529,-1.04
20220530,20220605,-1.00
20220606,20220612,-0.84
20220613,20220619,-0.76
20220620,20220626,-0.68
20220627,20220703,-0.63
20220704,20220710,-0.60
20220711,20220717,-0.58
20220718,20220724,-0.64
20220725,20220731,-0.61
20220801,20220807,-0.71
20220808,20220814,-0.75
20220815,20220821,-0.92
20220822,20220828,-0.91
20220829,20220904,-0.95
20220905,20220911,-0.98
20220912,20220918,-0.99
20220919,20220925,-0.98
20220926,20221002,-0.96
20221003,20221009,-0.91
20221010,20221016,-0.90
20221017,20221023,-0.93
20221024,20221030,-1.05
20221031,20221106,-1.15
20221107,20221113,-1.09
20221114,20221120,-1.10
20221121,20221127,-1.03
20221128,20221204,-0.91
20221205,20221211,-0.96
20221212,20221218,-0.93
20221219,20221225,-0.88
20221226,20230101,-0.74
20230102,20230108,-0.77
20230109,20230115,-0.73
20230116,20230122,-0.70
20230123,20230129,-0.68
20230130,20230205,-0.63
20230206,20230212,-0.67
20230213,20230219,-0.65
20230220,20230226,-0.43
20230227,20230305,-0.35
20230306,20230312,-0.14
20230313,20230319,-0.04
20230320,20230326,-0.20
20230327,20230402,-0.19
20230403,20230409,-0.15
20230410,20230416,-0.02
20230417,20230423,0.13
20230424,20230430,0.26
20230501,20230507,0.30
20230508,20230514,0.43
20230515,20230521,0.53
20230522,20230528,0.50
20230529,20230604,0.70
20230605,20230611,0.91
20230612,20230618,0.85
20230619,20230625,0.94
20230626,20230702,0.96
20230703,20230709,1.03
20230710,20230716,1.06
20230717,20230723,1.15
20230724,20230730,1.23
20230731,20230806,1.28
20230807,20230813,1.37
